Product Title,Variant Title,Purity,Gold Weight,Diamond Weight,Price,Variant ID,Image 1,Image 2,LocalImage
Sovereign Link Diamond Ceramic Flexi-Bracelet,18 KT / Yellow Gold / Black,18K,2.78,0.53,54447.0,50941984473376,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00118.jpg?v=1763474361,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-17_8d22370f-9419-43a2-99bf-de890e484a50.jpg?v=1763619492,SG-DGB00118.jpg
Bold Cubic Diamond Ceramic Flexi-Bracelet,9 KT / Yellow Gold / Black,9K,3.95,0.55,47219.0,50941984571680,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00106.jpg?v=1763474330,,SG-DGB00106.jpg
Bold Cubic Diamond Ceramic Flexi-Bracelet,14 KT / Yellow Gold / Black,14K,4.31,0.55,63961.0,50941984637216,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00106.jpg?v=1763474330,,SG-DGB00106.jpg
Bold Cubic Diamond Ceramic Flexi-Bracelet,18 KT / Yellow Gold / Black,18K,5.1,0.55,85206.0,50941984833824,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00106.jpg?v=1763474330,,SG-DGB00106.jpg
Everbrave Diamond Ceramic Flexi-Bracelet,9 KT / Yellow Gold / Black,9K,3.1,0.73,45815.0,50941984932128,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00109.jpg?v=1763474348,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-19.jpg?v=1763619504,SG-DGB00109.jpg
Everbrave Diamond Ceramic Flexi-Bracelet,14 KT / Yellow Gold / Black,14K,3.38,0.73,58930.0,50941984997664,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00109.jpg?v=1763474348,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-19.jpg?v=1763619504,SG-DGB00109.jpg
Everbrave Diamond Ceramic Flexi-Bracelet,18 KT / Yellow Gold / Black,18K,4.0,0.73,75597.0,50941985194272,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/SG-DGB00109.jpg?v=1763474348,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/01-19.jpg?v=1763619504,SG-DGB00109.jpg
Marcell Pave Diamond Silicon Bracelet,9 KT / Yellow Gold / Blue,9K,10.62,1.77,126621.0,50941999415584,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/NI-A-GKL-0003.jpg?v=1763474444,,NI-A-GKL-0003.jpg
Marcell Pave Diamond Silicon Bracelet,14 KT / Yellow Gold / Blue,14K,11.67,1.77,172410.0,50941999481120,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/NI-A-GKL-0003.jpg?v=1763474444,,NI-A-GKL-0003.jpg
Marcell Pave Diamond Silicon Bracelet,18 KT / Yellow Gold / Blue,18K,14.0,1.77,232257.0,50941999546656,https://cdn.shopify.com/s/files/1/0805/4777/4752/files/NI-A-GKL-0003.jpg?v=1763474444,,NI-A-GKL-0003.jpg
