Category,Product URL,Purity,Gold Weight,Diamond Weight,Image Link,
ring,https://geer.in/products/elysira-split-shank-classic-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.47 g,0.39 ct,https://geer.in/cdn/shop/files/AIENR-352RD_Y1.jpg?v=1751624302,AIENR-352RD_Y1.jpg
ring,https://geer.in/products/vistelle-round-cut-side-stone-lab-diamond-ring-copy/from_collection=lab-grown-diamonds-rings,14K,2.38 g,0.25 ct,https://geer.in/cdn/shop/files/AIENR-353RD_R1.jpg?v=1751624300,AIENR-353RD_R1.jpg
ring,https://geer.in/products/aurelia-heart-halo-ring/from_collection=lab-grown-diamonds-rings,14K,2.13 g,0.87 ct,https://geer.in/cdn/shop/files/GJLR-175_R1.jpg?v=1750393137,GJLR-175_R1.jpg
ring,https://geer.in/products/apex-solitaire-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.13 g,1.55 ct,https://geer.in/cdn/shop/files/GJLR-162_R1.jpg?v=1750399695,GJLR-162_R1.jpg
ring,https://geer.in/products/onyx-solstice-ring/from_collection=lab-grown-diamonds-rings,14K,2.72 g,1.2 ct,https://geer.in/cdn/shop/files/GJLR-165_R1.jpg?v=1750399635,GJLR-165_R1.jpg
ring,https://geer.in/products/amora-heart-bow-diamond-ring/from_collection=lab-grown-diamonds-rings,14K,2.47 g,0.97 ct,https://geer.in/cdn/shop/files/GJLR-177_R1.jpg?v=1750392843,GJLR-177_R1.jpg
ring,https://geer.in/products/solurelle-2ct-round-cut-solitaire-ring/from_collection=lab-grown-diamonds-rings,14K,3.72 g,2.0 ct,https://geer.in/cdn/shop/files/GJLR-028_R1.jpg?v=1750410797,GJLR-028_R1.jpg
ring,https://geer.in/products/3k-solitaire-diamond-ring-copy-5/from_collection=lab-grown-diamonds-rings,14K,2.13 g,0.45 ct,https://geer.in/cdn/shop/files/GJLR-013.jpg?v=1750239792,GJLR-013.jpg
ring,https://geer.in/products/roselle-heart-harmony-ring/from_collection=lab-grown-diamonds-rings,14K,2.64 g,1.38 ct,https://geer.in/cdn/shop/files/GJLR-190_R1.jpg?v=1750394359,GJLR-190_R1.jpg
ring,https://geer.in/products/3k-solitaire-diamond-ring-copy-3/from_collection=lab-grown-diamonds-rings,14K,1.60 g,0.35 ct,https://geer.in/cdn/shop/files/GJLR-011_R1.jpg?v=1750411833,GJLR-011_R1.jpg
